invoiceID,orderHeaderID,invoice_date,due_date,total_amount
1,23655,2023-05-14,2023-06-18,3857.97
2,15796,2023-03-05,2023-04-16,9416.25
3,861,2022-02-27,2022-04-07,9720.78
4,5391,2024-09-20,2024-10-24,6530.15
5,29803,2023-06-06,2023-06-26,2013.12
6,21576,2023-08-04,2023-08-22,4506.6
7,11965,2024-06-17,2024-07-18,4990.55
8,11285,2023-09-13,2023-10-12,7591.8
9,22119,2024-12-03,2025-01-04,6694.38
10,6266,2024-08-23,2024-09-12,5172.4
11,16851,2024-06-28,2024-08-05,6819.63
12,29911,2023-05-08,2023-06-16,289.37
13,4427,2023-05-14,2023-06-17,7777.52
14,21963,2024-11-07,2024-12-13,2155.74
15,14424,2023-08-28,2023-09-30,6581.27
16,28021,2024-08-05,2024-08-31,1184.03
17,11364,2022-10-21,2022-11-13,1188.89
18,27496,2022-06-21,2022-07-13,404.79
19,16024,2023-06-15,2023-07-27,9106.82
20,8323,2022-03-07,2022-04-05,6065.36
21,1686,2022-05-21,2022-06-05,3651.52
22,770,2023-03-22,2023-05-04,7888.39
23,26968,2022-07-08,2022-07-24,6279.52
24,23334,2022-06-07,2022-07-17,6219.8
25,2434,2023-11-01,2023-12-15,4896.08
26,5312,2022-09-03,2022-10-12,128.87
27,5052,2024-05-05,2024-06-14,2621.7
28,6421,2024-08-01,2024-08-18,1135.31
29,17569,2024-01-18,2024-03-02,6640.98
30,20940,2024-11-22,2024-12-25,2523.78
31,19770,2022-11-26,2022-12-20,4529.16
32,28694,2023-05-27,2023-07-05,3566.63
33,6397,2024-04-29,2024-05-27,1474.83
34,29420,2024-12-30,2025-02-01,9585.78
35,27481,2022-03-20,2022-05-04,9337.52
36,8667,2022-06-18,2022-07-28,891.85
37,25659,2024-03-20,2024-05-01,8282.29
38,18943,2024-09-09,2024-10-04,4909.32
39,24234,2022-06-29,2022-08-03,7748.67
40,18432,2022-09-17,2022-10-07,1554.01
41,2748,2024-10-25,2024-11-27,1366.13
42,25552,2022-10-24,2022-11-21,8913.04
43,26383,2023-09-12,2023-10-22,8983.3
44,190,2024-05-04,2024-05-26,4685.83
45,19119,2022-12-26,2023-01-11,8708.07
46,3006,2022-04-27,2022-06-02,6691.22
47,21043,2022-12-23,2023-01-24,1890.85
48,1900,2024-08-14,2024-09-22,3323.09
49,24119,2023-03-15,2023-04-20,1403.8
50,1268,2023-06-06,2023-07-15,7750.79
51,17913,2022-07-18,2022-08-31,9853.24
52,11395,2024-12-09,2024-12-27,5486.46
53,3557,2023-11-01,2023-12-13,6575.85
54,3891,2024-11-19,2024-12-06,7473.62
55,8839,2022-01-31,2022-02-16,2281.38
56,27465,2024-10-04,2024-11-11,3393.21
57,14503,2022-11-29,2022-12-17,4152.6
58,21778,2023-10-22,2023-11-23,5966.15
59,10628,2022-06-26,2022-07-21,8512.4
60,8793,2023-01-05,2023-01-28,2579.33
61,10556,2023-07-01,2023-08-12,4735.34
62,10254,2023-06-19,2023-07-11,7527.76
63,8434,2022-04-07,2022-05-12,919.48
64,10234,2022-08-18,2022-09-09,5153.29
65,11017,2022-08-15,2022-09-03,1486.58
66,23898,2023-01-06,2023-02-02,5414.53
67,2613,2022-02-24,2022-03-17,7689.84
68,23426,2023-02-28,2023-04-04,2407.63
69,25940,2022-11-11,2022-12-24,8502.31
70,22620,2022-02-01,2022-02-20,3381.3
71,21871,2022-04-03,2022-04-30,1948.31
72,23484,2023-06-03,2023-07-07,4679.97
73,26055,2024-05-02,2024-06-14,8766.95
74,15788,2024-01-22,2024-02-21,735.88
