orderDetailID,orderHeaderID,productID,quantity,unit_price
1,23655,440,10,1725.1
2,15796,106,3,338.18
3,861,245,8,1738.47
4,5391,305,10,1455.89
5,29803,555,8,846.69
6,21576,906,3,914.91
7,11965,909,9,585.56
8,11285,953,9,1399.82
9,22119,770,7,1794.27
10,6266,833,1,1167.75
11,16851,598,10,591.26
12,29911,97,3,1435.79
13,4427,976,8,511.3
14,21963,938,6,535.19
15,14424,954,9,1277.58
16,28021,477,10,194.23
17,11364,266,9,794.93
18,27496,575,1,739.82
19,16024,103,6,110.56
20,8323,254,3,1836.46
21,1686,455,5,1875.7
22,770,829,1,797.63
23,26968,513,7,742.02
24,23334,666,6,247.6
25,2434,493,10,1127.25
26,5312,261,5,698.55
27,5052,35,2,1686.51
28,6421,381,8,1467.55
29,17569,397,5,250.8
30,20940,27,2,433.06
31,19770,908,4,240.63
32,28694,862,10,275.69
33,6397,306,8,138.48
34,29420,736,8,735.35
35,27481,699,3,1213.7
36,8667,671,10,1926.39
37,25659,581,8,851.52
38,18943,165,10,1903.95
39,24234,258,9,194.59
40,18432,102,2,330.67
41,2748,455,6,806.92
42,25552,193,3,790.33
43,26383,771,5,39.47
44,190,916,4,123.16
45,19119,898,8,654.81
46,3006,810,7,630.41
47,21043,299,7,575.45
48,1900,21,1,1048.72
49,24119,45,6,401.35
50,1268,480,2,1014.79
51,17913,496,8,106.23
52,11395,788,6,998.3
53,3557,683,9,1497.48
54,3891,690,10,1845.89
55,8839,223,1,1790.99
56,27465,299,8,1295.83
57,14503,481,2,1964.87
58,21778,24,7,736.14
59,10628,338,3,1387.82
60,8793,84,7,1978.49
61,10556,60,1,1391.04
62,10254,288,10,521.89
63,8434,634,9,1626.35
64,10234,517,6,703.85
65,11017,898,7,567.65
66,23898,154,9,1655.72
67,2613,281,10,805.21
68,23426,434,1,1292.88
69,25940,342,8,1736.45
70,22620,935,7,309.6
71,21871,86,2,1231.81
72,23484,587,1,363.65
73,26055,779,10,1209.64
74,15788,191,1,983.88
75,27133,252,4,1746.97
76,17160,68,5,1802.17
77,12207,865,7,1542.06
78,8227,146,8,1259.19
79,14542,991,2,569.56
80,3153,876,9,978.23
81,26532,634,7,313.39
82,1586,924,6,20.9
83,3944,554,8,1136.27
84,23940,828,2,528.0
85,19458,662,1,562.45
86,1022,936,5,360.71
87,11654,574,9,159.65
88,10806,255,7,501.28
89,13418,131,7,472.96
90,20228,839,9,828.3
91,7990,959,5,156.99
92,9693,377,5,930.81
93,12991,532,7,115.04
94,6874,199,6,395.6
95,5676,839,10,1687.31
96,162,221,6,132.25
97,4298,410,8,213.97
98,26558,937,4,1170.77
99,996,643,2,529.44
100,29488,171,3,1547.93
101,11535,145,10,857.38
102,29128,488,4,1147.68
103,7630,852,5,225.59
104,28375,354,2,1396.33
105,25852,181,8,1893.7
106,1017,948,5,1921.49
107,24254,161,7,1300.43
108,22824,464,9,169.56
109,24277,60,7,1718.15
110,23248,215,4,1986.71
111,24301,580,3,273.55
112,8530,952,8,1659.01
113,17263,873,9,315.35
114,9269,192,5,897.67
115,21272,488,6,1849.89
116,12186,225,10,1864.5
117,21244,392,10,1107.49
118,6332,709,6,1873.1
119,8572,161,3,80.35
120,25069,761,4,1373.91
121,7209,921,9,859.38
122,5277,455,6,1109.89
123,18447,111,5,391.1
124,28461,903,9,407.54
125,16449,59,8,1460.13
126,16217,545,9,1537.26
127,8007,553,9,1282.53
128,2569,673,4,694.59
129,21848,29,8,1413.61
130,29825,767,10,1038.33
131,2028,935,9,1403.63
132,2696,185,5,434.62
133,26072,873,4,986.32
134,15423,224,10,255.96
135,5259,357,1,1924.89
136,22003,492,3,1987.3
137,6737,733,10,861.37
138,392,832,2,795.59
139,13987,598,7,858.59
140,29091,578,4,377.14
141,12667,114,9,420.12
142,5893,378,9,1950.07
143,3562,777,2,681.44
144,26855,285,3,1741.26
145,6185,97,8,20.26
146,19484,842,10,1194.61
147,22663,124,3,459.35
148,8393,156,4,1142.23
149,13068,110,3,1341.65
150,15266,53,2,1627.25
151,19489,174,1,494.3
152,23600,679,3,1279.5
153,29175,588,9,13.2
154,2455,314,8,1998.51
155,11838,726,9,839.72
156,14040,694,10,400.95
157,25381,390,5,1290.82
158,19116,45,5,1070.52
159,10966,936,8,11.34
160,24539,663,5,806.69
161,9763,117,4,1656.85
162,5057,122,9,522.09
163,14949,482,1,1920.34
164,8111,170,6,1729.82
165,13774,678,7,744.85
166,27267,400,6,805.2
167,20225,842,10,907.6
168,17413,943,8,1276.12
169,23770,661,8,658.93
170,503,500,5,7.11
171,6911,74,4,876.0
172,12686,971,7,992.07
173,25447,149,9,1420.13
174,23323,537,2,41.22
175,20873,892,7,1265.79
176,207,61,6,157.05
177,21519,866,3,1053.11
178,22362,54,2,406.2
179,24106,223,1,1759.49
180,23420,731,2,856.86
181,17869,473,5,253.49
182,24243,316,1,59.96
183,15935,170,8,1704.77
184,17248,701,4,1875.52
185,19175,32,3,1453.94
186,23793,53,10,1329.85
187,8756,940,2,500.93
188,21501,139,1,1452.15
189,12384,374,8,311.24
190,22404,47,9,1631.59
191,18142,90,3,877.04
192,14821,828,3,1750.01
193,7575,36,9,689.39
194,6375,997,7,27.65
195,23277,956,9,1625.01
